"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS"
369970147,9349069,457336,47.88689,-126.3313,18,302,318,0,2022-02-05 17:03:05,"SAT",1
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-05 17:05:55,"TER",54
316023833,9185188,382914,49.22593,-124.8142,0,25,25,8,2022-02-05 18:09:25,"TER",99
369970147,9349069,457336,47.79029,-126.2243,18,300,290,0,2022-02-05 18:09:17,"SAT",12
316039171,9781839,5837763,48.42125,-123.3875,0,47,46,5,2022-02-05 18:08:55,"TER",54
273813300,8607086,351364,42.35333,133.735,90,511,104,0,2022-02-05 18:59:50,"SAT",98
316023833,9185188,382914,49.2259,-124.8141,0,23,25,8,2022-02-05 19:03:25,"TER",99
369970147,9349069,457336,47.79333,-126.3,40,275,275,0,2022-02-05 19:04:36,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-05 19:05:56,"TER",54
273813300,8607086,351364,42.30667,133.9633,90,511,105,0,2022-02-05 20:05:52,"SAT",98
316023833,9185188,382914,49.226,-124.8142,0,24,25,8,2022-02-05 20:07:26,"TER",99
369970147,9349069,457336,47.79356,-126.3746,21,253,270,0,2022-02-05 20:06:42,"SAT",36
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-05 20:05:56,"TER",54
273813300,8607086,351364,42.28667,133.995,70,511,109,0,2022-02-05 21:05:47,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,24,24,8,2022-02-05 21:04:43,"TER",41
369970147,9349069,457336,47.78674,-126.3969,23,178,230,0,2022-02-05 21:05:32,"SAT",28
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-05 21:05:57,"TER",56
273813300,8607086,351364,42.25333,134.1983,90,511,103,0,2022-02-05 22:05:50,"SAT",98
316023833,9185188,382914,49.22597,-124.8141,0,24,25,8,2022-02-05 22:07:26,"TER",99
369970147,9349069,457336,47.78733,-126.4175,10,269,254,3,2022-02-05 22:08:50,"SAT",46
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-05 22:05:55,"TER",54
273813300,8607086,351364,42.21833,134.4033,90,511,106,0,2022-02-05 23:05:49,"SAT",98
316023833,9185188,382914,49.22597,-124.8141,0,25,25,8,2022-02-05 23:11:26,"TER",99
369970147,9349069,457336,47.79195,-126.4758,15,511,282,0,2022-02-05 23:10:37,"SAT",34
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-05 23:11:55,"TER",54
273813300,8607086,351364,42.18167,134.5783,80,511,99,0,2022-02-06 00:29:54,"SAT",98
316023833,9185188,382914,49.22597,-124.8141,0,24,24,8,2022-02-06 00:38:04,"TER",2
369970147,9349069,457336,47.79833,-126.58,40,280,283,0,2022-02-06 00:37:37,"SAT",98
316039171,9781839,5837763,48.42125,-123.3875,0,46,45,5,2022-02-06 00:35:56,"TER",54
273813300,8607086,351364,42.135,134.8967,90,511,100,0,2022-02-06 02:02:49,"SAT",98
316023833,9185188,382914,49.22588,-124.8142,0,23,25,8,2022-02-06 01:59:47,"TER",99
369970147,9349069,457336,47.80333,-126.4967,90,511,254,0,2022-02-06 02:01:41,"SAT",98
316039171,9781839,5837763,48.42125,-123.3874,0,46,45,5,2022-02-06 02:02:55,"TER",54
273813300,8607086,351364,42.10833,135.0033,40,511,115,0,2022-02-06 03:02:49,"SAT",98
316023833,9185188,382914,49.22597,-124.8141,0,24,24,8,2022-02-06 03:07:04,"TER",3
369970147,9349069,457336,47.75579,-126.7805,104,254,255,0,2022-02-06 03:07:32,"SAT",30
316039171,9781839,5837763,48.42125,-123.3875,0,46,46,5,2022-02-06 03:05:57,"TER",56
273813300,8607086,351364,42.06815,135.1989,91,117,107,0,2022-02-06 04:02:43,"SAT",36
316023833,9185188,382914,49.22598,-124.8141,0,23,25,8,2022-02-06 04:07:47,"TER",99
369970147,9349069,457336,47.71003,-127.0508,107,253,252,0,2022-02-06 04:09:59,"SAT",2
316039171,9781839,5837763,48.42127,-123.3874,0,46,45,5,2022-02-06 04:08:55,"TER",54
273813300,8607086,351364,42.02,135.4117,90,511,104,0,2022-02-06 05:05:45,"SAT",98
316023833,9185188,382914,49.22592,-124.8141,0,23,24,8,2022-02-06 05:07:23,"TER",22
369970147,9349069,457336,47.66999,-127.2934,109,255,252,0,2022-02-06 05:07:24,"SAT",18
316039171,9781839,5837763,48.42125,-123.3874,0,46,45,5,2022-02-06 05:05:57,"TER",56
273813300,8607086,351364,41.99166,135.5183,80,511,99,0,2022-02-06 06:02:47,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,23,24,8,2022-02-06 06:04:45,"TER",41
369970147,9349069,457336,47.63206,-127.5066,104,254,256,0,2022-02-06 06:07:22,"SAT",15
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 06:05:56,"TER",54
273813300,8607086,351364,41.965,135.7383,90,511,102,0,2022-02-06 07:05:48,"SAT",98
316023833,9185188,382914,49.22598,-124.8141,0,24,24,8,2022-02-06 07:04:23,"TER",21
369970147,9349069,457336,47.58792,-127.7641,106,256,257,0,2022-02-06 07:07:27,"SAT",25
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 07:05:56,"TER",55
273813300,8607086,351364,41.92333,135.9567,90,511,104,0,2022-02-06 08:08:48,"SAT",98
316023833,9185188,382914,49.22597,-124.8142,0,23,24,8,2022-02-06 08:07:04,"TER",3
369970147,9349069,457336,47.54371,-128.0255,110,254,255,0,2022-02-06 08:08:57,"SAT",54
316039171,9781839,5837763,48.42127,-123.3874,0,46,45,5,2022-02-06 08:08:55,"TER",54
273813300,8607086,351364,41.90667,136.065,80,511,97,0,2022-02-06 09:05:48,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,25,25,8,2022-02-06 09:05:48,"TER",99
369970147,9349069,457336,47.49833,-128.2767,100,252,255,0,2022-02-06 09:07:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3874,0,46,45,5,2022-02-06 09:05:55,"TER",54
273813300,8607086,351364,41.87833,136.2433,80,511,104,0,2022-02-06 09:59:52,"SAT",98
316023833,9185188,382914,49.22595,-124.814,0,24,24,8,2022-02-06 10:07:35,"SAT",32
369970147,9349069,457336,47.455,-128.535,110,511,257,0,2022-02-06 10:07:37,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 10:05:55,"TER",54
273813300,8607086,351364,41.83667,136.46,80,511,102,0,2022-02-06 11:05:52,"SAT",98
316023833,9185188,382914,49.22588,-124.8141,0,24,24,8,2022-02-06 11:07:14,"SAT",13
369970147,9349069,457336,47.41333,-128.78,100,511,254,0,2022-02-06 11:04:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 11:05:57,"TER",55
273813300,8607086,351364,41.81167,136.5933,90,511,97,0,2022-02-06 12:11:50,"SAT",98
316023833,9185188,382914,49.22602,-124.8141,0,24,24,8,2022-02-06 12:10:04,"TER",3
369970147,9349069,457336,47.36718,-129.0571,106,254,255,0,2022-02-06 12:10:23,"SAT",21
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 12:11:55,"TER",54
273813300,8607086,351364,41.77167,136.7833,80,511,105,0,2022-02-06 13:08:49,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,24,24,8,2022-02-06 13:10:04,"TER",2
369970147,9349069,457336,47.3234,-129.3011,102,256,256,0,2022-02-06 13:08:52,"SAT",46
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 13:08:57,"TER",56
273813300,8607086,351364,41.72667,136.9683,90,511,101,0,2022-02-06 14:05:52,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,23,25,8,2022-02-06 14:05:49,"TER",99
369970147,9349069,457336,47.28167,-129.5433,100,255,254,0,2022-02-06 14:07:37,"SAT",98
316039171,9781839,5837763,48.42125,-123.3875,0,46,45,5,2022-02-06 14:05:55,"TER",54
273813300,8607086,351364,41.685,137.1683,80,511,106,0,2022-02-06 15:05:48,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,23,24,8,2022-02-06 15:05:06,"TER",3
369970147,9349069,457336,47.23989,-129.7892,104,254,255,0,2022-02-06 15:07:36,"SAT",33
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-06 15:05:57,"TER",55
273813300,8607086,351364,41.63833,137.3733,90,511,106,0,2022-02-06 16:08:55,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,24,25,8,2022-02-06 16:07:49,"TER",99
369970147,9349069,457336,47.19591,-130.0452,99,511,256,0,2022-02-06 16:09:32,"SAT",28
316039171,9781839,5837763,48.42127,-123.3874,1,46,46,5,2022-02-06 16:08:56,"TER",55
273813300,8607086,351364,41.60167,137.5517,90,511,104,0,2022-02-06 17:02:48,"SAT",98
