year,lat,lon,zone,vessel
2022,50.4248674,-158.3732876,zone 3,TINRO
2022,49.49607537,-158.3732876,zone 3,TINRO
2022,48.48410794,-158.3732876,zone 3,TINRO
2022,47.48600307,-158.3455625,zone 3,TINRO
2022,45.38815845,-169.3422001,zone 3,TINRO
2022,46.41098332,-169.3730299,zone 3,TINRO
2022,47.46624182,-169.4034704,zone 3,TINRO
2022,48.47470076,-169.4295026,zone 3,TINRO
2022,49.48565899,-169.4441945,zone 3,TINRO
2022,47.77915498,-155.9634227,zone 4,TINRO
2022,48.82308167,-155.9870902,zone 4,TINRO
2022,49.89146651,-156.0081825,zone 4,TINRO
2022,50.93836548,-156.0029869,zone 4,TINRO
2022,52.01749045,-156.0513059,zone 4,TINRO
2022,49.18708847,-171.6013344,zone 2,TINRO
2022,48.19775704,-171.5614006,zone 2,TINRO
2022,47.19547876,-171.5604971,zone 2,TINRO
2022,46.17742267,-171.5098548,zone 2,TINRO
2022,45.16373342,-171.4728344,zone 2,TINRO
2022,44.62037971,-173.5955554,zone 2,TINRO
2022,45.5889257,-173.6306847,zone 2,TINRO
2022,46.64680811,-173.6334606,zone 2,TINRO
2022,47.64892796,-173.6694631,zone 2,TINRO
2022,48.67929467,-173.6827603,zone 2,TINRO
2022,48.6064742,-175.8003887,zone 2,TINRO
2022,47.59414746,-175.8050376,zone 2,TINRO
2022,46.58516062,-175.7570004,zone 2,TINRO
2022,45.58886966,-175.7544171,zone 2,TINRO
2022,44.57980603,-175.7120591,zone 2,TINRO
2022,44.5137893,-177.9249725,zone 2,TINRO
2022,45.49735027,-177.9549808,zone 2,TINRO
2022,46.52230591,-177.8836461,zone 2,TINRO
2022,47.52984848,-177.9778399,zone 2,TINRO
2022,48.53248357,-178.0068157,zone 2,TINRO
2022,48.40153529,179.8894243,zone 2,TINRO
2022,47.37246929,179.8931898,zone 2,TINRO
2022,46.36494467,179.9109127,zone 2,TINRO
2022,45.29855276,179.9224935,zone 2,TINRO
2022,44.34302812,179.92943,zone 2,TINRO
2022,44.43542522,177.895668,zone 2,TINRO
2022,45.40332118,177.8267547,zone 2,TINRO
2022,46.47096209,177.8815952,zone 2,TINRO
2022,47.46962378,177.7954869,zone 2,TINRO
2022,48.4883389,177.8903713,zone 2,TINRO
2022,48,-135,zone 5,Raw Spirit
2022,47,-138,zone 5,Raw Spirit
2022,49,-138,zone 5,Raw Spirit
2022,48,-141,zone 5,Raw Spirit
2022,47,-144,zone 5,Raw Spirit
2022,49,-144,zone 5,Raw Spirit
2022,51,-144,zone 5,Raw Spirit
2022,50,-141,zone 5,Raw Spirit
2022,50,-135,zone 5,Raw Spirit
2022,52,-135,zone 5,Raw Spirit
2022,53,-138,zone 5,Raw Spirit
2022,52,-141,zone 5,Raw Spirit
2022,53,-144,zone 5,Raw Spirit
2022,55,-144,zone 5,Raw Spirit
2022,57,-144,zone 5,Raw Spirit
2022,56,-141,zone 5,Raw Spirit
2022,54,-141,zone 5,Raw Spirit
2022,55,-138,zone 5,Raw Spirit
2022,49,-132,zone 5,Raw Spirit
2022,46,-135,zone 5,Raw Spirit
2022,46,-138,zone 5,Raw Spirit
2022,46,-144,zone 5,Raw Spirit
2022,58,-141,zone 5,Raw Spirit
